city_state_id,city_state,state_id
944,campina do monte alegre/SP,1
945,campina do simao/PR,26
946,campina grande do sul/PR,26
947,campina grande/PB,11
948,campina verde/MG,6
949,campinacu/GO,20
950,campinapolis/MT,23
951,campinas do piaui/PI,13
952,campinas do sul/RS,25
953,campinas/SP,1
954,campinorte/GO,20
955,campo alegre de goias/GO,20
956,campo alegre de lourdes/BA,7
957,campo alegre do fidalgo/PI,13
958,campo alegre/AL,10
959,campo alegre/SC,27
960,campo azul/MG,6
961,campo belo do sul/SC,27
962,campo belo/MG,6
963,campo bom/RS,25
964,campo bonito/PR,26
965,campo do brito/SE,8
966,campo do meio/MG,6
967,campo do tenente/PR,26
968,campo ere/SC,27
969,campo florido/MG,6
970,campo formoso/BA,7
971,campo grande do piaui/PI,13
972,campo grande/AL,10
973,campo grande/MS,24
974,campo grande/RN,2
975,campo largo do piaui/PI,13
976,campo largo/PR,26
977,campo limpo de goias/GO,20
978,campo limpo paulista/SP,1
979,campo magro/PR,26
980,campo maior/PI,13
981,campo mourao/PR,26
982,campo novo de rondonia/RO,21
983,campo novo do parecis/MT,23
984,campo novo/RS,25
985,campo redondo/RN,2
986,campo verde/MT,23
987,campos altos/MG,6
988,campos belos/GO,20
989,campos borges/RS,25
990,campos de julio/MT,23
991,campos do jordao/SP,1
992,campos dos goytacazes/RJ,4
993,campos gerais/MG,6
994,campos lindos/TO,22
995,campos novos paulista/SP,1
996,campos novos/SC,27
997,campos sales/CE,12
998,campos verdes/GO,20
999,camutanga/PE,9
1000,cana verde/MG,6
1001,canaa dos carajas/PA,15
1002,canaa/MG,6
1003,canabrava do norte/MT,23
1004,cananeia/SP,1
1005,canapi/AL,10
1006,canapolis/BA,7
1007,canapolis/MG,6
1008,canarana/BA,7
1009,canarana/MT,23
1010,canas/SP,1
1011,canavieira/PI,13
1012,canavieiras/BA,7
1013,candeal/BA,7
1014,candeias do jamari/RO,21
1015,candeias/BA,7
1016,candeias/MG,6
1017,candelaria/RS,25
1018,candiba/BA,7
1019,candido de abreu/PR,26
1020,candido godoi/RS,25
1021,candido mendes/MA,14
1022,candido mota/SP,1
1023,candido rodrigues/SP,1
1024,candido sales/BA,7
1025,candiota/RS,25
1026,candoi/PR,26
1027,canela/RS,25
1028,canelinha/SC,27
1029,canguaretama/RN,2
1030,cangucu/RS,25
1031,canhoba/SE,8
1032,canhotinho/PE,9
1033,caninde de sao francisco/SE,8
1034,caninde/CE,12
1035,canitar/SP,1
1036,canoas/RS,25
1037,canoinhas/SC,27
1038,cansancao/BA,7
1039,canta/RR,18
1040,cantagalo/MG,6
1041,cantagalo/PR,26
1042,cantagalo/RJ,4
1043,cantanhede/MA,14
1044,canto do buriti/PI,13
1045,canudos do vale/RS,25
1046,canudos/BA,7
1047,canutama/AM,17
1048,capanema/PA,15
1049,capanema/PR,26
1050,capao alto/SC,27
1051,capao bonito do sul/RS,25
1052,capao bonito/SP,1
1053,capao da canoa/RS,25
1054,capao do cipo/RS,25
1055,capao do leao/RS,25
1056,caparao/MG,6
1057,capela de santana/RS,25
1058,capela do alto alegre/BA,7
1059,capela do alto/SP,1
1060,capela nova/MG,6
1061,capela/AL,10
1062,capela/SE,8
1063,capelinha/MG,6
1064,capetinga/MG,6
1065,capim branco/MG,6
1066,capim grosso/BA,7
